UNIVERSO,NIVEL_1,NIVEL_2,NIVEL_3,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
REDE_FISICA_SEM_LOJA93,O - MOVEIS,OD - COZINHA E AREA DE SERVICO,ODI - PANELEIROS,8,0,244,353670.313500,257.000000,0.000000,0.000000,0.000000,1376.149080,,,,0.000000,,,0.000000,0.107422
REDE_FISICA_SEM_LOJA93,D - ELETROS,DE - ELETROPORTATEIS PARA COZINHA,DEA - LIQUIDIFICADORES E MISTURADORES,6,0,950,353076.916500,1175.000000,0.000000,0.000000,0.000000,300.490993,,,,0.000000,,,0.000000,0.107242
REDE_FISICA_SEM_LOJA93,"K - CAMA, MESA E BANHO",KA - CAMA,KAB - LENCOIS,8,0,2336,351624.192500,4782.000000,0.000000,0.000000,0.000000,73.530781,,,,0.000000,,,0.000000,0.106800
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,BBF - CANECAS - PRESENTES,16,0,7721,333276.070225,22758.000000,0.000000,0.000000,0.000000,14.644348,,,,0.000000,,,0.000000,0.101227
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,BBC - FACAS,12,0,8278,331975.791875,55395.000000,0.000000,0.000000,0.000000,5.992884,,,,0.000000,,,0.000000,0.100833
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,BBH - XICARAS,24,0,4754,324593.401125,22875.000000,0.000000,0.000000,0.000000,14.189875,,,,0.000000,,,0.000000,0.098590
REDE_FISICA_SEM_LOJA93,V - DECORACAO,VA - OBJETOS PARA SALA E QUARTO,"VAB - CAPAS, PROTETORES E MANTAS PARA SOFA",11,0,3073,323742.517000,11495.000000,0.000000,0.000000,0.000000,28.163768,,,,0.000000,,,0.000000,0.098332
REDE_FISICA_SEM_LOJA93,D - ELETROS,DA - AR E VENTILACAO,DAJ - SUPORTES PARA AR CONDICIONADO,7,0,2460,308749.140000,3514.000000,0.000000,0.000000,0.000000,87.862590,,,,0.000000,,,0.000000,0.093778
REDE_FISICA_SEM_LOJA93,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAS - ESTANTE HOME,4,0,233,306476.625000,240.000000,0.000000,0.000000,0.000000,1276.985938,,,,0.000000,,,0.000000,0.093088
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,UE - BASES E ACABAMENTOS,UEA - ACABAMENTOS PARA REGISTROS,2,0,1165,285849.795000,3163.000000,0.000000,0.000000,0.000000,90.372999,,,,0.000000,,,0.000000,0.086822
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BK - HIGIENE E LIMPEZA,BKJ - LIMPEZA E MANUTENCAO,4,0,3092,284796.151500,5001.000000,0.000000,0.000000,0.000000,56.947841,,,,0.000000,,,0.000000,0.086502
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,BBE - COPOS E JOGOS DE COPOS,18,0,5508,282877.019250,17356.000000,0.000000,0.000000,0.000000,16.298515,,,,0.000000,,,0.000000,0.085920
REDE_FISICA_SEM_LOJA93,C - PISOS E REVESTIMENTOS,CB - NAO CERAMICOS,"CBC - RODAPES, RODAMEIOS E RODATETOS",6,0,444,282617.191500,2817.000000,0.000000,0.000000,0.000000,100.325592,,,,0.000000,,,0.000000,0.085841
