UNIVERSO,CODIGO,DESCRICAO,NIVEL_1,NIVEL_2,NIVEL_3,RECEITA,QTD_ARMAZENAGEM,LOJAS_ATIVAS,CUSTO_MEDIO_ARM,PRECO_COMPRA_PONDERADO_UNID_COMPRA,CONVERSAO_COMPRA_ARMAZENAGEM,COMPRAS_LINHAS_COM_PRECO,PRECO_PRATICADO_ARM,MARGEM_BRUTA_RS,MARGEM_BRUTA_PCT,MARKUP,FLAG_MARGEM_NEGATIVA,PART_RECEITA_UNIVERSO_PCT,CURVA_ABC_RECEITA,RANK_RECEITA
REDE_COMPLETA,478699,"PORCEL.A 58X58 ESM.LIME.MUS.AC1,68M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAB - PORCELANATOS,347856.390000,8341.200000,9,26.423400,26.423400,1.000000,1,41.703399,15.279999,36.639697,1.578275,0,0.072092,A,249.000000
REDE_COMPLETA,360263,"LAMP.LED  DIC.MR16 4,5W AM GU10 MBIV",I - ILUMINACAO,IA - LAMPADAS,IAA - LAMPADAS LED,328050.320000,14306.000000,9,9.569200,9.569200,1.000000,42,22.930960,13.361760,58.269519,2.396330,0,0.067987,A,264.000000
REDE_COMPLETA,459685,"PORCEL.A 90X90 ESM.VERS.BG EXT2,40M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAB - PORCELANATOS,318480.069600,2853.600000,10,42.854600,42.854600,1.000000,1,111.606416,68.751816,61.602028,2.604304,0,0.066004,A,276.000000
REDE_COMPLETA,468647,"CER.A 67X67 CRAVO HD RT    P4 2,71M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAA - PISOS CERAMICOS,310153.581360,7636.780000,9,17.192600,17.192600,1.000000,1,40.613136,23.420536,57.667391,2.362245,0,0.064278,A,289.000000
REDE_COMPLETA,347263,"CER.A 46X46 PSI66010       P4 2,58M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAA - PISOS CERAMICOS,302811.234390,10518.660000,10,12.690000,12.690000,1.000000,1,28.788005,16.098005,55.919140,2.268558,0,0.062757,A,294.000000
REDE_COMPLETA,450221,CADEIRA POLIP ALICE               MO,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAW - CADEIRAS PARA SALA E COZINHA,285988.279500,1230.000000,9,126.223200,126.223200,1.000000,7,232.510796,106.287596,45.712972,1.842061,0,0.059270,A,314.000000
REDE_COMPLETA,462850,DISJ.UNIP.C DIN  16A       GII-C016A,E - MATERIAIS ELETRICOS,ED - PROTECAO DE CIRCUITOS ELETRICOS,EDA - DISJUNTORES,281972.601925,31812.000000,9,3.741200,3.741200,1.000000,1,8.863718,5.122518,57.791979,2.369218,0,0.058438,A,319.000000
REDE_COMPLETA,465586,LAV.ROUPA 13KG FV5013WC4A    BR M220,D - ELETROS,DD - LAVADORAS E SECADORES,DDA - LAVADORAS DE ROUPAS,267940.837500,67.000000,7,2380.014200,2380.014200,1.000000,2,3999.116978,1619.102778,40.486507,1.680291,0,0.055530,A,337.000000
REDE_COMPLETA,326263,SUPORTE 4X2 3MOD.  BR 850200DUALE UP,E - MATERIAIS ELETRICOS,EA - TOMADAS E INTERRUPTORES,"EAC - PLACAS, SUPORTES, MODULOS E MOLDURAS",261051.401495,148792.000000,9,0.535800,0.535800,1.000000,2,1.754472,1.218672,69.460898,3.274491,0,0.054102,A,348.000000
REDE_COMPLETA,401645,REFRIG. 2P 371L FF     DFN41 BR M127,D - ELETROS,DB - REFRIGERACAO,DBA - REFRIGERADORES,257790.918000,85.000000,4,1747.582200,1747.582200,1.000000,1,3032.834329,1285.252129,42.377921,1.735446,0,0.053426,A,354.000000
