UNIVERSO,NIVEL_1,NIVEL_2,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BH - ACESSORIOS PARA SERVIR - PRESENTES,31,0,11891,512074.671850,25539.000000,0.000000,0.000000,0.000000,20.050694,,,,0.000000,,,0.000000,0.106126
REDE_COMPLETA,R - ELETRONICOS,RC - SOM,2,0,195,426794.529000,266.000000,0.000000,0.000000,0.000000,1604.490711,,,,0.000000,,,0.000000,0.088452
REDE_COMPLETA,V - DECORACAO,VC - OBJETOS PARA JARDIM,3,0,1395,421659.241500,2587.000000,0.000000,0.000000,0.000000,162.991589,,,,0.000000,,,0.000000,0.087388
REDE_COMPLETA,U - METAIS E ACESSORIOS,UD - REGISTROS E VALVULAS,9,0,5369,372643.200000,11110.000000,0.000000,0.000000,0.000000,33.541242,,,,0.000000,,,0.000000,0.077229
REDE_COMPLETA,U - METAIS E ACESSORIOS,UE - BASES E ACABAMENTOS,3,0,2011,295360.432500,4541.000000,0.000000,0.000000,0.000000,65.043037,,,,0.000000,,,0.000000,0.061213
REDE_COMPLETA,N - INDUSTRIAL E NEGOCIOS,NE - LIMPEZA E MANUTENCAO,5,0,5486,283516.394000,12784.000000,0.000000,0.000000,0.000000,22.177440,,,,0.000000,,,0.000000,0.058758
REDE_COMPLETA,A - AUTOMOTIVO,AA - PNEUS,3,0,166,274737.424500,342.000000,0.000000,0.000000,0.000000,803.325803,,,,0.000000,,,0.000000,0.056939
REDE_COMPLETA,M - MAQUINAS E MOTORES,ME - LIMPEZA,5,0,257,244032.978000,303.000000,0.000000,0.000000,0.000000,805.389366,,,,0.000000,,,0.000000,0.050575
REDE_COMPLETA,H - TUBOS E CONEXOES,HE - RALOS E GRELHAS,8,0,2945,242085.851000,6822.000000,0.000000,0.000000,0.000000,35.486053,,,,0.000000,,,0.000000,0.050172
REDE_COMPLETA,S - TINTAS E QUIMICOS,SE - IMPERMEABILIZANTES,4,0,749,211221.129000,947.000000,0.000000,0.000000,0.000000,223.042375,,,,0.000000,,,0.000000,0.043775
REDE_COMPLETA,E - MATERIAIS ELETRICOS,EO - INSTRUMENTOS DE MEDICAO ELETRICA,2,0,4288,205258.607750,7205.000000,0.000000,0.000000,0.000000,28.488356,,,,0.000000,,,0.000000,0.042539
REDE_COMPLETA,M - MAQUINAS E MOTORES,MA - BOMBAS E FILTROS,4,0,423,189359.331000,498.000000,0.000000,0.000000,0.000000,380.239620,,,,0.000000,,,0.000000,0.039244
REDE_COMPLETA,I - ILUMINACAO,IE - ACESSORIOS E COMPONENTES,8,0,1271,185192.285250,2494.000000,0.000000,0.000000,0.000000,74.255126,,,,0.000000,,,0.000000,0.038381
