UNIVERSO,CODIGO,EMBALAGEM,DESCRICAO,NIVEL_1,LOJAS,RECEITA,PRECO_ARM_MEDIO,PRECO_ARM_MEDIANA,PRECO_ARM_DESVPAD,PRECO_ARM_MIN,PRECO_ARM_MAX,CV_PRECO,AMPLITUDE_PCT,FLAG_DISPERSAO_ALTA
REDE_COMPLETA,138854,0,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,6,32542.650000,2090.725000,2047.001250,282.449519,1679.422500,2518.950000,0.135096,40.154851,0
REDE_COMPLETA,371452,0,ARAND.LED PLS.   AM 8W     MBIV/2267,I - ILUMINACAO,9,35581.560000,50.593139,50.305194,6.829859,43.022778,58.860789,0.134996,31.304663,0
REDE_COMPLETA,432017,0,CONSERV.HOR 2P 468L      ECH500 M220,N - INDUSTRIAL E NEGOCIOS,9,432025.660500,4137.335312,3963.408750,558.276347,3566.697273,5249.895000,0.134936,40.683135,0
REDE_COMPLETA,386092,0,LUMI.JARDIM ESPETO SPOT     AM 18430,I - ILUMINACAO,8,165147.731000,57.211189,61.360269,7.707571,47.487391,64.710515,0.134721,30.104467,0
REDE_COMPLETA,450951,0,ESTANTE HOME 2.00X1.86        AMD/CH,O - MOVEIS,10,126687.540000,1241.629715,1268.778362,167.256134,1023.172500,1522.395000,0.134707,40.207035,0
REDE_COMPLETA,463858,0,DISPOSIT.PROTECAO DR4P      80A/30MA,E - MATERIAIS ELETRICOS,7,29038.485000,194.211984,195.982500,26.105796,164.045000,227.785385,0.134419,32.820006,0
REDE_COMPLETA,454579,0,FOGAO INDL.3B MISTO BAIXA PRESSAO E3,N - INDUSTRIAL E NEGOCIOS,7,36629.040000,1109.759821,1095.080000,148.684519,963.033750,1385.895000,0.133979,38.103853,0
REDE_COMPLETA,22271,0,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,6,23436.840000,7.707643,7.657723,1.032042,6.195000,8.790882,0.133898,33.679327,0
REDE_COMPLETA,466073,0,TAPETE BANH. 38X58 RELAX        SORT,U - METAIS E ACESSORIOS,9,152651.660000,24.371982,22.902968,3.262953,21.228103,31.262535,0.133881,41.171995,0
REDE_COMPLETA,453197,0,ADEGA 0.90X0.80 6 GARRAFAS        NT,O - MOVEIS,11,43324.785000,510.101669,506.345000,68.190724,419.895000,597.450000,0.133681,34.807767,0
REDE_COMPLETA,440692,0,FRONHA AVULSA PERCAL  50X90 KING CAS,"K - CAMA, MESA E BANHO",9,4869.690000,38.542282,40.463182,5.129766,26.145000,41.895000,0.133095,40.864213,0
REDE_COMPLETA,463008,0,CHUVEIRO MET.C/DESV.MANUAL   BL 1990,U - METAIS E ACESSORIOS,8,88171.723500,2036.709667,2033.430000,270.786955,1582.130250,2535.697500,0.132953,46.819007,0
REDE_COMPLETA,238875,1,CANECA VID.130ML CAFE           0230,B - UTILIDADES DOMESTICAS,2,1289.820000,19.110000,19.110000,2.536746,17.316250,20.903750,0.132744,18.772894,0
REDE_COMPLETA,302866,0,CERVEJEIRA 1P CZD12AT        TI M220,D - ELETROS,9,228467.295000,2211.940994,2098.950000,293.498086,2057.139000,2988.265000,0.132688,42.095427,0
REDE_COMPLETA,467605,0,PRATO FUNDO PORC.22CM    NATUR 80026,B - UTILIDADES DOMESTICAS,9,46863.892250,17.288028,17.199557,2.291760,13.900469,20.201784,0.132563,36.449012,0
REDE_COMPLETA,456655,0,COND.SPLIT  9000 COND.S4UQ09 INV.118,D - ELETROS,4,21381.612000,1314.915875,1310.522500,174.222259,1155.000000,1483.618500,0.132497,24.991599,0
REDE_COMPLETA,386056,0,LUMI.JARDIM ESPETO SPOT     AM 18428,I - ILUMINACAO,8,119334.726000,43.079496,45.937028,5.697121,35.770522,49.096802,0.132247,30.934158,0
REDE_COMPLETA,411805,0,FACA SMESA (AV) SAVANNAH      SH1114,B - UTILIDADES DOMESTICAS,9,22077.352500,4.597237,4.554303,0.607749,3.811317,5.557913,0.132199,37.992288,0
