UNIVERSO,ACAO_PRIMARIA,NIVEL_1,PARES,SKUS,RECEITA_HISTORICA,VALOR_FINANCEIRO_CONHECIDO
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,B - UTILIDADES DOMESTICAS,134,40,5245384.200542,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,"K - CAMA, MESA E BANHO",109,30,3232068.133690,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,C - PISOS E REVESTIMENTOS,100,70,1524742.269120,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,O - MOVEIS,83,47,1650577.887000,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,I - ILUMINACAO,68,25,3614057.531235,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,R - ELETRONICOS,44,15,7466438.261742,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,U - METAIS E ACESSORIOS,41,15,1931099.161435,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,W - LOUCAS E PIAS,34,27,87108.714000,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,V - DECORACAO,31,13,814152.446773,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,E - MATERIAIS ELETRICOS,20,4,1821908.092012,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,N - INDUSTRIAL E NEGOCIOS,18,15,525265.786500,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,"G - PORTAS, JANELAS E FECHADURAS",14,7,872470.989250,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,A - AUTOMOTIVO,6,4,3463.845000,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,S - TINTAS E QUIMICOS,5,4,165592.906500,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,T - ARTIGOS DE EPOCA,5,1,111624.254167,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,M - MAQUINAS E MOTORES,4,2,107556.855000,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,F - FERRAMENTAS,1,1,18731.055000,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,H - TUBOS E CONEXOES,1,1,3.244500,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,J - JARDINAGEM,1,1,52.395000,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,"L - INFANTIL, LAZER E PETS",1,1,19741.470000,
