UNIVERSO_OPERACIONAL,COD_EMPRESA,CD_CIDADE,CD_ESTADO,CODIGO,DESCRICAO,NIVEL_1,CURVA_ABC_RECEITA,CURVA_ABC_ORIGEM,REPRICING_N_EMBALAGENS,REPRICING_FAIXA,SINAL_MARGEM_AUDITAVEL,SINAL_PRECO_LISTA,FLAG_CUSTO_VALIDO,MARGEM_BRUTA_PCT_COM_CUSTO,FLAG_MARGEM_NEGATIVA,REPRICING_RECEITA,ACAO_PRIMARIA,FAIXA_PRIORIDADE
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,484436,TV LED 75 HDR SMT 4K NANO 75NANO80TS,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,113546.160000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,449065,PANELA PRESSAO ANTIAD.4.5L   GR 5481,B - UTILIDADES DOMESTICAS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,112928.882500,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,1,GARANHUNS,PE,452121,FRITAD.ELET.4L AFN-40-BI     PT M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,112698.495000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,403647,PANELA PRESSAO ANTIAD.4.5L   CZ 6776,B - UTILIDADES DOMESTICAS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,112392.626298,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,467964,COND.SPLIT 12000 EVAP.42AGVC INV.158,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,39.058246,0,111188.327369,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,470050,LUSTRE LED 35W NE       LP-201D 5629,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,36.537118,0,110951.347500,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,470050,LUSTRE LED 35W NE       LP-201D 5629,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,36.537118,0,110540.251500,PROMOVER,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,456651,COND.SPLIT 12000 COND.S4UW12 QF  116,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,109290.034000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,482509,REFLETOR LED AL.50W          5954 BR,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,47.348528,0,109056.993182,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,460689,CAMA CONJUGADA OURO      138X188X064,O - MOVEIS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,108553.830000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,463933,FRIGOBAR 45L MRCO6B2         BR M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,106998.012975,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,460689,CAMA CONJUGADA OURO      138X188X064,O - MOVEIS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,106421.070000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,1,GARANHUNS,PE,429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,1,1,1,22.749416,0,67624.585000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,427734,PLAFON LED RED. MILAO   BR  18W MBIV,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,47859.945000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,481706,TV LED 55 UHD SMT 4K  QLED QN55LS03D,R - ELETRONICOS,B,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,41481.100500,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,467615,AP.JANTAR PORC.20PC NATUR     990100,B - UTILIDADES DOMESTICAS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,1,1,1,-22.393598,1,27746.145000,PROMOVER,MEDIA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,451133,ROUPEIRO 2.19 6P/AB/3G        CN/OFF,O - MOVEIS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,63.233503,0,24653.895000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,467615,AP.JANTAR PORC.20PC NATUR     990100,B - UTILIDADES DOMESTICAS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,1,1,1,-22.393598,1,23765.595000,REPRECIFICAR,ALTA
