UNIVERSO,NIVEL_1,NIVEL_2,PARES_LOJA_PRODUTO,SKUS_DISTINTOS,LOJAS_DISTINTAS,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,RECEITA_EM_RUPTURA,RECEITA_CRITICO,PARES_RUPTURA_CRITICO,PARES_COM_RECEITA_HISTORICA,PARES_SEM_RECEITA_HISTORICA,PARES_DIAS_COBERTURA_FINITO,PARES_DIAS_COBERTURA_INFINITO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,DIAS_COBERTURA_P25_FINITA,DIAS_COBERTURA_P75_FINITA,ESTOQUE_PROJ_TOTAL,ESTOQUE_PROJ_MEDIANA,VENDA_MEDIA_MES_TOTAL,PARES_EM_RUPTURA,PARES_CRITICO,PARES_ATENCAO,PARES_SAUDAVEL,PARES_STATUS_SEM_VENDA,PCT_PARES_RUPTURA_CRITICO,PCT_PARES_EM_RUPTURA,PCT_PARES_CRITICO,PCT_PARES_DIAS_INFINITO,PCT_PARES_SEM_RECEITA_HISTORICA,PART_RECEITA_RISCO_PCT,PART_RECEITA_UNIVERSO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,RECEITA_ETAPA3,TRANSACOES_ETAPA3_LINHAS_VENDA,SKUS_ATIVOS_ETAPA3,PART_RECEITA_ETAPA3_PCT,VAR_RECEITA_2025_VS_2024_ETAPA3_PCT,DIF_RECEITA_VS_ETAPA3,RANK_REPOSICAO
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BL - LAVANDERIA,95,9,11,1094158.956583,1089335.886583,1081607.561083,7728.325500,94,81,14,95,0,0.877407,0.000000,0.000000,0.000000,-19207.000000,-93.000000,1421.987504,92,2,1,0,0,98.947368,96.842105,2.105263,0.000000,14.736842,99.559198,0.226761,0.225762,1094158.956583,9831,9,0.226761,-84.059377,0.000000,39
REDE_COMPLETA,O - MOVEIS,OF - ESCRITORIO,121,11,11,1014082.517000,939762.047000,937654.277000,2107.770000,111,107,14,118,3,40.400893,0.000000,0.000000,0.000000,-1300.000000,-7.000000,239.848972,109,2,0,7,3,91.735537,90.082645,1.652893,2.479339,11.570248,92.671161,0.210166,0.194763,1014082.517000,2116,11,0.210166,-89.688846,0.000000,40
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BK - HIGIENE E LIMPEZA,230,22,11,984830.707000,929120.531500,898331.801500,30788.730000,208,181,49,229,1,29.555061,0.000000,0.000000,0.000000,-15904.000000,-22.500000,1783.062354,196,12,6,15,1,90.434783,85.217391,5.217391,0.434783,21.304348,94.343172,0.204103,0.192558,984830.707000,14291,22,0.204103,-49.845560,0.000000,41
REDE_COMPLETA,V - DECORACAO,VA - OBJETOS PARA SALA E QUARTO,352,36,11,970803.470000,920147.816000,916405.196000,3742.620000,318,283,69,347,5,22.958784,0.000000,0.000000,0.000000,-17093.000000,-24.000000,2178.303573,314,4,2,27,5,90.340909,89.204545,1.136364,1.420455,19.602273,94.782090,0.201196,0.190698,970803.470000,9007,36,0.201196,-68.669470,0.000000,42
REDE_COMPLETA,E - MATERIAIS ELETRICOS,"EI - PROGRAMADORES, SENSORES E VARIADORES",22,2,11,900979.483523,882549.463523,882549.463523,0.000000,18,18,4,20,2,65.036709,0.000000,0.000000,0.000000,-12972.000000,-268.000000,862.600696,18,0,0,2,2,81.818182,81.818182,0.000000,9.090909,18.181818,97.954446,0.186725,0.182906,900979.483523,4422,2,0.186725,12.502340,-0.000000,43
REDE_COMPLETA,E - MATERIAIS ELETRICOS,"EC - CAIXAS, DUTOS E CALHAS ELETRICAS",165,15,11,885887.304840,878461.704840,871877.889840,6583.815000,148,127,38,155,10,9.003916,0.000000,0.000000,0.000000,-72009.000000,-93.000000,8254.552450,145,3,2,5,10,89.696970,87.878788,1.818182,6.060606,23.030303,99.161790,0.183598,0.182059,885887.304840,13323,15,0.183598,-75.573605,0.000000,44
REDE_COMPLETA,E - MATERIAIS ELETRICOS,EK - PROTECAO DE EQUIPAMENTOS ELETRICOS,31,3,11,853744.242156,853744.242156,853744.242156,0.000000,30,27,4,30,1,0.000000,0.000000,0.000000,0.000000,-16600.000000,-41.000000,1560.250458,30,0,0,0,1,96.774194,96.774194,0.000000,3.225806,12.903226,100.000000,0.176936,0.176936,853744.242156,4693,3,0.176936,-82.658867,0.000000,45
REDE_COMPLETA,S - TINTAS E QUIMICOS,SC - ADERENTES E VEDADORES,110,10,11,750562.916750,750479.756750,747507.521750,2972.235000,109,84,26,110,0,0.817763,0.000000,0.000000,0.000000,-16419.000000,-68.500000,1336.917000,107,2,1,0,0,99.090909,97.272727,1.818182,0.000000,23.636364,99.988920,0.155552,0.155535,750562.916750,8828,10,0.155552,-54.267952,0.000000,46
REDE_COMPLETA,A - AUTOMOTIVO,AD - LUBRIFICANTES E ADITIVOS,44,4,11,737055.500250,737055.500250,737055.500250,0.000000,44,28,16,44,0,0.000000,0.000000,0.000000,0.000000,-15214.000000,-29.000000,914.595222,44,0,0,0,0,100.000000,100.000000,0.000000,0.000000,36.363636,100.000000,0.152753,0.152753,737055.500250,3005,4,0.152753,-27.985586,0.000000,47
REDE_COMPLETA,D - ELETROS,DF - ELETROPORTATEIS PARA CASA,101,10,11,737821.547801,716877.649301,712308.259301,4569.390000,93,58,43,98,3,40.931324,0.000000,0.000000,0.000000,-4855.000000,0.000000,756.058476,91,2,2,3,3,92.079208,90.099010,1.980198,2.970297,42.574257,97.161387,0.152911,0.148571,737821.547801,2280,10,0.152911,-70.304963,0.000000,48
