UNIVERSO,NIVEL_1,NIVEL_2,NIVEL_3,PARES_LOJA_PRODUTO,SKUS_DISTINTOS,LOJAS_DISTINTAS,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,RECEITA_EM_RUPTURA,RECEITA_CRITICO,PARES_RUPTURA_CRITICO,PARES_COM_RECEITA_HISTORICA,PARES_SEM_RECEITA_HISTORICA,PARES_DIAS_COBERTURA_FINITO,PARES_DIAS_COBERTURA_INFINITO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,DIAS_COBERTURA_P25_FINITA,DIAS_COBERTURA_P75_FINITA,ESTOQUE_PROJ_TOTAL,ESTOQUE_PROJ_MEDIANA,VENDA_MEDIA_MES_TOTAL,PARES_EM_RUPTURA,PARES_CRITICO,PARES_ATENCAO,PARES_SAUDAVEL,PARES_STATUS_SEM_VENDA,PCT_PARES_RUPTURA_CRITICO,PCT_PARES_EM_RUPTURA,PCT_PARES_CRITICO,PCT_PARES_DIAS_INFINITO,PCT_PARES_SEM_RECEITA_HISTORICA,PART_RECEITA_RISCO_PCT,PART_RECEITA_UNIVERSO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,RECEITA_ETAPA3,TRANSACOES_ETAPA3_LINHAS_VENDA,SKUS_ATIVOS_ETAPA3,PART_RECEITA_ETAPA3_PCT,VAR_RECEITA_2025_VS_2024_ETAPA3_PCT,DIF_RECEITA_VS_ETAPA3,RANK_REPOSICAO
REDE_COMPLETA,"K - CAMA, MESA E BANHO",KA - CAMA,KAD - COBRE LEITOS E COLCHAS,372,35,11,1966224.736875,1921376.926875,1921093.636875,283.290000,354,310,62,368,4,12.030570,0.000000,0.000000,0.000000,-13732.000000,-25.500000,1689.659857,353,1,2,12,4,95.161290,94.892473,0.268817,1.075269,16.666667,97.719090,0.407494,0.398200,1966224.736875,10239,35,0.407494,-67.041924,0.000000,40
REDE_COMPLETA,O - MOVEIS,OC - QUARTO,OCA - ROUPEIROS,64,6,11,1916495.252600,1916495.252600,1911665.567600,4829.685000,63,52,12,63,1,0.952381,0.000000,0.000000,0.000000,-1250.000000,-3.000000,77.475104,61,2,0,0,1,98.437500,95.312500,3.125000,1.562500,18.750000,100.000000,0.397188,0.397188,1916495.252600,974,6,0.397188,-62.384823,0.000000,41
REDE_COMPLETA,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAW - CADEIRAS PARA SALA E COZINHA,77,7,11,2126979.081500,1865190.635000,1865190.635000,0.000000,65,59,18,73,4,72.834385,0.000000,0.000000,0.000000,-2493.000000,-1.000000,915.078903,65,0,2,6,4,84.415584,84.415584,0.000000,5.194805,23.376623,87.692007,0.440810,0.386555,2126979.081500,2392,7,0.440810,-86.889767,0.000000,42
REDE_COMPLETA,O - MOVEIS,OC - QUARTO,OCL - CONJUNTOS DE CAMA BOX,11,1,11,1878231.045833,1836886.035833,1836886.035833,0.000000,10,11,0,11,0,1209.411765,0.000000,0.000000,0.000000,-149.000000,-20.000000,41.952889,10,0,0,1,0,90.909091,90.909091,0.000000,0.000000,0.000000,97.798726,0.389258,0.380689,1878231.045833,603,1,0.389258,-99.161562,0.000000,43
REDE_COMPLETA,I - ILUMINACAO,IB - RESIDENCIAL,IBD - ARANDELAS RESIDENCIAIS,186,17,11,1902622.569750,1752183.784750,1652392.119000,99791.665750,162,146,40,171,15,20.498511,0.000000,0.000000,0.000000,-15466.000000,-18.500000,1701.341484,155,7,3,6,15,87.096774,83.333333,3.763441,8.064516,21.505376,92.093083,0.394313,0.363135,1902622.569750,8791,17,0.394313,-17.314866,0.000000,44
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BJ - JOGOS E CONJUNTOS PARA SERVIR,BJA - APARELHOS DE JANTAR,119,11,11,2004400.744662,1708634.662162,1670173.162162,38461.500000,103,95,24,119,0,50.982190,0.000000,0.000000,0.000000,-5525.000000,-14.000000,1231.328796,101,2,1,15,0,86.554622,84.873950,1.680672,0.000000,20.168067,85.244164,0.415406,0.354110,2004400.744662,6641,11,0.415406,-89.989793,0.000000,45
REDE_COMPLETA,W - LOUCAS E PIAS,WB - CUBAS E PIAS,WBA - CUBAS E LAVATORIOS DE LOUCA,418,38,11,1708762.786500,1679635.681500,1667339.341500,12296.340000,394,298,120,406,12,3.403589,0.000000,0.000000,0.000000,-2631.000000,-1.000000,496.238326,383,11,9,3,12,94.258373,91.626794,2.631579,2.870813,28.708134,98.295427,0.354136,0.348100,1708762.786500,2751,38,0.354136,-56.412034,0.000000,46
REDE_COMPLETA,I - ILUMINACAO,IB - RESIDENCIAL,IBC - SPOTS,260,24,11,1913735.944750,1664737.107250,1604424.792250,60312.315000,234,201,59,253,7,19.726182,0.000000,0.000000,0.000000,-19070.000000,-26.000000,2954.936287,228,6,7,12,7,90.000000,87.692308,2.307692,2.692308,22.692308,86.988861,0.396616,0.345012,1913735.944750,7683,24,0.396616,-69.690961,0.000000,47
REDE_COMPLETA,I - ILUMINACAO,IB - RESIDENCIAL,IBO - FITAS DE LED,135,14,11,1603250.566750,1532122.803750,1532122.803750,0.000000,122,105,30,128,7,17.943251,0.000000,0.000000,0.000000,-10618.000000,-40.000000,1036.519843,122,0,2,4,7,90.370370,90.370370,0.000000,5.185185,22.222222,95.563528,0.332269,0.317528,1603250.566750,6237,14,0.332269,-49.298067,0.000000,48
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BD - ORGANIZAR,BDP - ORGANIZADORES DE COZINHA,216,21,11,1511231.292250,1510425.312250,1510425.312250,0.000000,213,184,32,216,0,1.375661,0.000000,0.000000,0.000000,-29457.000000,-61.500000,1649.086935,213,0,1,2,0,98.611111,98.611111,0.000000,0.000000,14.814815,99.946667,0.313198,0.313031,1511231.292250,19275,21,0.313198,-25.116474,0.000000,49
