COD_EMPRESA,CODIGO,ESTOQUE_PROJ,VENDA_MEDIA_MES,DIAS_COBERTURA,RECEITA_TOTAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO,STATUS_ESTOQUE
9,440179,-13.0,2.1666666666666665,-180.0,806.0745000000001,JARRA VID.1.3L                 35637,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,440226,-93.0,5.470588235294118,-510.0,1687.035,PRATO SMES.MELM.22CM        BR 28317,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,440532,-256.0,12.19047619047619,-630.0,22059.24,FRIGIDEIRA ANTIAD.03PC      PT 05725,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,440611,0.0,0.0,inf,,BALANCA ELET. 35KG BAT.DCLB       PT,N - INDUSTRIAL E NEGOCIOS,SALVADOR,BA,EM RUPTURA
9,440673,0.0,0.0,inf,,COMODA 0.95X0.51 4G TEXAS     TR/GRG,O - MOVEIS,SALVADOR,BA,EM RUPTURA
9,440680,-50.0,3.125,-480.0,1628.55,LUZ NOTURNA LED CHASE             1W,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,440682,-71.0,4.176470588235294,-510.0,2339.295,LUZ NOTURNA LED SKYE              1W,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,440692,-17.0,1.8888888888888888,-270.0,612.465,FRONHA AVULSA PERCAL  50X90 KING CAS,"K - CAMA, MESA E BANHO",SALVADOR,BA,EM RUPTURA
9,440828,-165.0,18.333333333333332,-270.0,198.555,ABRACAD.PLS ELET.       1/2  TMC  PT,E - MATERIAIS ELETRICOS,SALVADOR,BA,EM RUPTURA
9,440829,-400.0,50.0,-240.0,369.0750000000001,ABRACAD.PLS ELET.       3/4  TMC  PT,E - MATERIAIS ELETRICOS,SALVADOR,BA,EM RUPTURA
9,440872,0.0,0.0,inf,,"REVEST.A 45X90 FORME BIANCO   2,00M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,440874,0.0,0.0,inf,,"REVEST.A 45X90 FORME NERO     2,00M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,440965,0.0,0.0,inf,,"PORCEL.A 120X120 ESM.NEW Y.GR 2,88M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,441065,0.0,0.0,inf,,"CER.A 10X10 SHUN HD10010   P4 1,44M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,441069,0.0,0.0,inf,,"CER.A 10X10 ACOCA HD10050  P4 1,44M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,441072,0.0,0.0,inf,,"CER.A 10X10 BON.AC HD10080 P4 1,44M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,441145,0.0,0.0,inf,,TORNEIRA PIA COZ. HYDRAPLUS 1167  PT,U - METAIS E ACESSORIOS,SALVADOR,BA,EM RUPTURA
